provincia,indicativo,nombre,latitud,longitud,altitud
BURGOS,9012E,SANTA GADEA DE ALFOZ,425705N,035726W,915
CANTABRIA,9016X,"VALDERREDIBLE, CUBILLO DE EBRO",424835N,040156W,770
CANTABRIA,9019B,"VALDERREDIBLE, POLIENTES   ",424822N,035602W,720
BURGOS,9027X,SARGENTES DE LA LORA,424449N,035304W,1017
BURGOS,9031C,BRIVIESCA,423334N,031832W,730
BURGOS,9051,MEDINA DE POMAR,425512N,032858W,580
BURGOS,9069C,MIRANDA DE EBRO,424114N,025738W,460
ARABA/ALAVA,9087,VITORIA AERÓDROMO,425059N,023922W,521
ARABA/ALAVA,9073X,"AGURAIN/SALVATIERRA, OPAKUA",424947N,022135W,660
ARABA/ALAVA,9060X,LALASTRA,425231N,031354W,910
BURGOS,9111,BELORADO,422516N,031013W,820
ARABA/ALAVA,9091O,FORONDA-TXOKIZA,425255N,024406W,513
ARABA/ALAVA,9091R,VITORIA-GASTEIZ AEROPUERTO,425219N,024358W,513
LA RIOJA,9121X,HARO,423431N,025117W,465
LA RIOJA,9115X,VALDEZCARAY,421518N,025805W,1630
ARABA/ALAVA,9122I,LABASTIDA,423614N,024636W,612
LA RIOJA,9141V,NÁJERA,422450N,024336W,500
LA RIOJA,9136X,"ANGUIANO, VALVANERA",421351N,025216W,1006
ARABA/ALAVA,9145X,LEZA,423402N,023758W,575
LA RIOJA,9170,"LOGROÑO, AEROPUERTO",422708N,021952W,353
LA RIOJA,9145Y,CENICERO,422858N,023822W,429
ARABA/ALAVA,9178X,CAMPEZO/KANPEZU,424014N,022046W,570
NAVARRA,9171K,LOS ARCOS,423413N,021102W,470
LA RIOJA,9188,ENCISO,420858N,021624W,855
HUESCA,9198X,CANFRANC,424458N,003058W,1197
HUESCA,9195C,ASTÚN- LA RACA,424735N,003019W,2276
HUESCA,9201K,JACA,423444N,003249W,823
HUESCA,9201X,JACA,423447N,003242W,832
NAVARRA,9218A,ISABA/IZABA,425145N,005529W,838
HUESCA,9207,"VALLE DE HECHO, HECHO",424426N,004502W,860
HUESCA,9208E,ARAGÜÉS DEL PUERTO,424231N,004022W,1025
HUESCA,9211F,"BAILO, PUYALTO",423051N,004902W,722
NAVARRA,9228J,OROZ-BETELU/OROTZ-BETELU,425346N,011801W,635
NAVARRA,9238X,NAVASCUÉS/NABASKOZE,424303N,010702W,612
NAVARRA,9228T,RONCESVALLES/ORREAGA,430028N,011932W,947
NAVARRA,9252X,OLITE/ERRIBERRI,422921N,013920W,390
NAVARRA,9245X,CÁSEDA,423117N,012159W,440
ZARAGOZA,9244X,SOS DEL REY CATÓLICO,422927N,011248W,626
NAVARRA,9262P,MONREAL/ELO,424204N,012944W,585
NAVARRA,9257X,"ESTERIBAR, EMBALSE DE EUGI",425814N,013101W,615
NAVARRA,9262,PAMPLONA,424904N,013818W,450
NAVARRA,9263D,"PAMPLONA, AEROPUERTO",424637N,013900W,459
NAVARRA,9263X,"ARANGUREN, ILUNDAIN  ",424634N,013157W,572
NAVARRA,9274X,IRURTZUN,425508N,015006W,432
NAVARRA,9280B,LARRAGA,423258N,015127W,375
NAVARRA,9283X,CADREITA,421225N,014241W,268
LA RIOJA,9293X,"ALFARO, LA PLANA",421034N,014438W,371
ZARAGOZA,9299X,TARAZONA,415454N,014324W,475
NAVARRA,9294E,"BARDENAS REALES, BASE AÉREA",421155N,012831W,295
SORIA,9287A,SAN PEDRO MANRIQUE,420135N,021351W,1096
NAVARRA,9301X,MONTEAGUDO,415732N,014126W,410
NAVARRA,9302Y,TUDELA,420320N,013634W,297
ZARAGOZA,9336D,CASTEJON DE VALDEJASA,415903N,005945W,543
ZARAGOZA,9321X,EJEA DE LOS CABALLEROS,420716N,010823W,321
SORIA,9344C,ARCOS DE JALÓN,411259N,021735W,863
SORIA,9352A,ALMAZUL,413429N,020825W,1000
ZARAGOZA,9354X,ALHAMA DE ARAGON,411735N,015343W,703
GUADALAJARA,9377Y,EL PEDREGAL,404643N,013406W,1185
TERUEL,9381,"CALAMOCHA, AERÓDROMO",405154N,011818W,932
TERUEL,9374X,SANTA EULALIA DEL CAMPO,403400N,011915W,1000
TERUEL,9381I,CALAMOCHA,405534N,011736W,884
ZARAGOZA,9390,DAROCA,410652N,012436W,774
ZARAGOZA,9394X,CALATAYUD,411952N,013843W,582
ZARAGOZA,9434P,"ZARAGOZA, VALDESPARTERA",413716N,005605W,258
ZARAGOZA,9427X,LA ALMUNIA DE DOÑA GODINA,412852N,012251W,370
ZARAGOZA,9434,"ZARAGOZA, AEROPUERTO",413938N,010015W,249
HUESCA,9445L,"FORMIGAL, SARRIOS",424545N,002334W,1800
HUESCA,9451F,"PANTICOSA, PETROSOS",424216N,001631W,1850
TERUEL,9436X,FONFRÍA,405943N,010515W,1255
HUESCA,9453X,"BIESCAS, EMBALSE DE BÚBAL",424157N,001908W,1100
HUESCA,9491X,ALMUDÉVAR,420146N,003509W,390
HUESCA,9460X,SABIÑÁNIGO,423046N,002120W,775
ZARAGOZA,9495Y,LECIÑENA,414748N,003702W,405
ZARAGOZA,9501X,VALMADRID ,412635N,005309W,535
TERUEL,9513X,MUNIESA,410152N,004820W,800
TERUEL,9531Y,MONTALBÁN,404943N,004734W,895
ZARAGOZA,9510X,QUINTO,412545N,003014W,205
TERUEL,9550C,"ANDORRA, HORCALLANA",405828N,002428W,762
TERUEL,9561X,CASTELLOTE,404754N,001855W,755
CASTELLON,9562X,MORELLA,403718N,000607W,990
TERUEL,9546B,HIJAR,411019N,002631W,305
TERUEL,9569A,CALANDA,405648N,001416W,466
TERUEL,9573X,ALCAÑIZ,410329N,000830W,334
CASTELLON,9563X,CASTELLFORT,402955N,001112W,1220
ZARAGOZA,9574B,"CASPE, PLANA DEL PILÓN",411433N,000407W,215
ZARAGOZA,9576C,BUJARALOZ,413119N,001027W,357
GIRONA,9585,LA MOLINA,421957N,015622E,1699
LLEIDA,9590D,CAP DE REC,422549N,014003E,1940
LLEIDA,9619,LA SEU D'URGELL,422117N,012746E,677
LLEIDA,9632X,TUIXENT,421349N,013410E,1196
LLEIDA,9590,MARTINET  ,422144N,014136E,1038
LLEIDA,9638D,COLL DE NARGÓ,420916N,011843E,609
LLEIDA,9647X,TORÀ,414821N,012344E,435
LLEIDA,9657X,ESTERRI D'ÀNEU,423730N,010734E,952
LLEIDA,9650X,ARTESA DE SEGRE,415253N,010631E,400
LLEIDA,9689X,TORRE DE CABDELLA ,422759N,005927E,1273
LLEIDA,9660,SANT MAURICI (LLAC),423451N,010027E,1907
LLEIDA,9677,PORT AINÉ,422436N,011253E,2410
LLEIDA,9707,LLIMIANA,420401N,005426E,515
LLEIDA,9718X,TORDERA - GRANYANELLA,414052N,011323E,463
LLEIDA,9698U,TALARN,421217N,005153E,807
LLEIDA,9720X,TÀRREGA,413902N,010858E,388
LLEIDA,9729X,MOLLERUSSA,413701N,005160E,252
LLEIDA,9724X,OS DE BALAGUER,415224N,004522E,520
TARRAGONA,9726E,LLORAC,413326N,011834E,657
LLEIDA,9744B,VALL DE BOÍ,423012N,004756E,1089
LLEIDA,9771,"LLEIDA, OBSERVATORIO",413702N,003716E,199
HUESCA,9751,SOPEIRA,421907N,004449E,760
HUESCA,9756X,BENABARRE,420645N,002848E,765
LLEIDA,9775X,EL SOLERÀS,412449N,004042E,392
LLEIDA,9771C,LLEIDA,413734N,003553E,186
LLEIDA,9776D,ELS TORMS,412336N,004403E,488
LLEIDA,9772X,LA POBLA DE CÉRVOLES,412158N,005449E,673
HUESCA,9812M,"PARADOR DE ORDESA, PARQUE NACIONAL ORDESA Y MONTEPERDIDO",423919N,000557W,1206
HUESCA,9814A,TORLA,423736N,000642W,1020
HUESCA,9808X,"AÍNSA-SOBRARBE, LA SERRETA",422518N,000817E,610
HUESCA,9784P,BIELSA,423748N,001329E,992
HUESCA,9838B,BENASQUE,423558N,003114E,1120
HUESCA,9814I,"TORLA-ORDESA, EL CEBOLLAR",423922N,000728W,1905
HUESCA,9814X,TORLA - ORDESA,423815N,000643W,1076
HUESCA,9839V,"CERLER, COGULLA",423318N,003235E,2374
HUESCA,9866C,BARBASTRO,420117N,000826E,305
HUESCA,9855E,"CAPELLA, LAGUARRES",421205N,002758E,600
HUESCA,9843A,SEIRA,422837N,002603E,825
HUESCA,9898,"HUESCA, AEROPUERTO",420504N,001932W,546
HUESCA,9901X,HUESCA,420820N,002342W,463
HUESCA,9894Y,SARIÑENA,414757N,000939W,300
HUESCA,9908X,LANAJA,414626N,001959W,380
HUESCA,9911X,BALLOBAR,413710N,001116E,178
HUESCA,9918Y,"TAMARITE DE LITERA, LA MELUSA",414651N,002237E,218
HUESCA,9924X,FRAGA,413129N,002120E,170
TERUEL,9935X,VALDERROBRES,405224N,000847E,483
TARRAGONA,9946X,HORTA DE SANT JOAN,405711N,001842E,495
TARRAGONA,9975X,RASQUERA,410018N,003649E,112
TARRAGONA,9981A,ESTACIÓN DE TORTOSA (ROQUETES),404913N,002936E,50
TARRAGONA,9961X,CABACÉS,411458N,004407E,363
TARRAGONA,9947X,LA POBLA DE MASSALUCA,411038N,002112E,370
LLEIDA,9990X,"NAUT ARAN, ARTIES ",424201N,005237E,1161
TARRAGONA,9987P,SANT JAUME D'ENVEJA,404157N,004836E,1
LLEIDA,9988B,CAP DE VAQUÈIRA,424131N,005826E,2467
LLEIDA,9994X,BOSSÒST,424634N,004123E,722
NAVARRA,9995Y,VALCARLOS/LUZAIDE,430528N,011803W,334
TERUEL,9998X,BELLO,405517N,012940W,1006
